captured_at,static_rank,team_name,team_id,submission_id,leaderboard_score,episodes,wins,losses,draws,win_rate,win_rate_wilson_lcb95,sample_sufficiency_to_500,selection_score_65_lcb_35_volume,window_censored,archetype,deck_sha256,strict_500_eligible,strict_win_rate_order,mandatory_lumen,meets_200_episode_floor,selected_roster_order,package_name,sample_episode_id
2026-07-22T21:15:27.634743+00:00,65,ktr,16375635,54872863,1022.8,109,61,48,0,0.5596330275229358,0.4659852332977716,0.218,0.3791904016435515,False,Alakazam / Dudunsparce,f1776ee333fe625be829c895cbea25cf1673250f957e40d6c0b1bd58541cb8e6,False,,False,False,,rank_065_alakazam_bc,87532002
2026-07-22T21:15:27.634743+00:00,66,jneums,16566047,54889085,1022.4,92,59,33,0,0.6413043478260869,0.5394527182418937,0.184,0.4150442668572309,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_066_marnies_grimmsnarl_ex_bc,87531342
2026-07-22T21:15:27.634743+00:00,67,gisgisgis,16555789,54908597,1022.3,64,41,23,0,0.640625,0.5182085060977909,0.128,0.3816355289635641,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_067_marnies_grimmsnarl_ex_bc,87533577
2026-07-22T21:15:27.634743+00:00,68,Orin,16377894,54878551,1021.6,126,79,47,0,0.626984126984127,0.5399596474034482,0.252,0.4391737708122413,False,Cynthia's Garchomp ex / Roserade,cf6f4c21a4d3d3cb1d0d565aa89f25c79e0494630ffa2dc72b48bb48efcaf3bd,False,,False,False,,rank_068_cynthias_garchomp_ex_bc,87533034
2026-07-22T21:15:27.634743+00:00,69,Dieter,16514212,54855203,1019.3,215,112,103,0,0.5209302325581395,0.4543748485450453,0.43,0.4458436515542794,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,True,,rank_069_alakazam_bc,87533417
2026-07-22T21:15:27.634743+00:00,70,koala_bear “もりたにあん”,16383917,54836418,1019.2,444,226,217,1,0.509009009009009,0.46374963996711405,0.888,0.6122372659786242,False,Mega Kangaskhan ex / Crustle,747769779b60ad8db730b0b238414abb1e47936349cc72c83ff79c2ffacf31bc,False,,False,True,12,rank_070_mega_kangaskhan_ex_bc,87533449
2026-07-22T21:15:27.634743+00:00,71,cocosu3434,16395413,54907854,1018.2,62,37,25,0,0.5967741935483871,0.47250467700400234,0.124,0.3505280400526015,False,Mega Gardevoir ex / toolbox,3127b307579a0db70b518ac411f65337272ea3160215b9941d637b3f5bfa5083,False,,False,False,,rank_071_mega_gardevoir_ex_bc,87532786
2026-07-22T21:15:27.634743+00:00,72,gecogeco,16406640,54908644,1017.6,63,44,19,0,0.6984126984126984,0.5763962768644041,0.126,0.4187575799618627,False,Mega Kangaskhan ex / Crustle,8037ef9a970a2d5b1fefbea9092def2816111014317d8c6f70e60ae4b5d53588,False,,False,False,,rank_072_mega_kangaskhan_ex_bc,87533593
2026-07-22T21:15:27.634743+00:00,73,Bozo Boys,16399636,54907209,1016.3,70,44,26,0,0.6285714285714286,0.5114720115842712,0.14,0.3814568075297763,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_073_alakazam_bc,87532331
2026-07-22T21:15:27.634743+00:00,74,me and the lads,16411724,54908578,1015.4,67,39,28,0,0.582089552238806,0.46269931502979283,0.134,0.34765455476936535,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_074_alakazam_bc,87531321
2026-07-22T21:15:27.634743+00:00,75,Timmy Juicehouse,16424674,54877575,1015.3,126,70,56,0,0.5555555555555556,0.46842606320596075,0.252,0.3926769410838745,False,Team Rocket's Mewtwo ex / Spidops,71861f2fe5b952d2af37fa02168a81b4f1d7f81ef2c37926035787f7f6110a43,False,,False,False,,rank_075_team_rockets_mewtwo_ex_bc,87533393
2026-07-22T21:15:27.634743+00:00,76,Haumea,16404960,54901261,1013.4,74,46,28,0,0.6216216216216216,0.5077145897601354,0.148,0.381814483344088,False,Marnie's Grimmsnarl ex / Froslass,e2e03fe8ef9592b1204c159a7725da3945675fa872b1e18baca550560503a78e,False,,False,False,,rank_076_marnies_grimmsnarl_ex_bc,87534514
2026-07-22T21:15:27.634743+00:00,77,cununn,16442659,54909841,1012.9,47,33,14,0,0.7021276595744681,0.5602232608095392,0.094,0.3970451195262005,False,Alakazam / Dudunsparce,3f4515092dc59df397f365a9b79c7cf0c1cb73b9aa38bc47c1b18e9df4c2fdaf,False,,False,False,,rank_077_alakazam_bc,87534436
2026-07-22T21:15:27.634743+00:00,78,Abhiraj Singh,16570624,54900560,1011.6,77,44,33,0,0.5714285714285714,0.46010532061427006,0.154,0.35296845839927554,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_078_marnies_grimmsnarl_ex_bc,87534128
2026-07-22T21:15:27.634743+00:00,79,Kazama Yusuke,16390728,54867826,1011.3,89,54,35,0,0.6067415730337079,0.5028653953994611,0.178,0.3891625070096497,False,Marnie's Grimmsnarl ex / Froslass,c20a8a46f5c635773754f03103652f5c534b13dc622448ed2255a97234c103af,False,,False,False,,rank_079_marnies_grimmsnarl_ex_bc,87533870
2026-07-22T21:15:27.634743+00:00,80,bono,16371427,54901198,1009.7,75,39,36,0,0.52,0.4087421577281785,0.15,0.31818240252331603,False,Mega Kangaskhan ex / Crustle,2036aa09264c8283e2df1939fe0a3254fbb4c7409923492fd7e95d7ab7e20ff2,False,,False,False,,rank_080_mega_kangaskhan_ex_bc,87534114
2026-07-22T21:15:27.634743+00:00,81,MPGaming,16376499,54909483,1009.3,53,32,21,0,0.6037735849056604,0.46941478673205506,0.106,0.3422196113758358,False,Team Rocket's Mewtwo ex / Spidops,84ccea6baafe9f0b8eb8bd97a2f53e4389f508d5a2dc5b88b24c45279b4fd53a,False,,False,False,,rank_081_team_rockets_mewtwo_ex_bc,87535182
2026-07-22T21:15:27.634743+00:00,82,ei1333,16372422,54851676,1008.7,323,172,151,0,0.5325077399380805,0.47803273450948514,0.646,0.5368212774311654,False,Marnie's Grimmsnarl ex / Froslass,1bce920993a6864b1132b8291f4897b48a712272b4269df0dba2c49a7af89454,False,,False,True,17,rank_082_marnies_grimmsnarl_ex_bc,87533877
